feature,mean_abs_shap
refund_rate,4.6777487
anomaly_score,1.8660067
refund_x_chargeback,1.3231225
chargeback_rate,0.7421132
refund_rate_zscore_peer,0.21814199
chargeback_rate_zscore_peer,0.19996624
gmv_trend_slope,0.19587329
refund_rate_zscore_personal,0.15346767
gmv_pct_change,0.09438237
gmv_mom_4w,0.046875898
chargeback_acceleration,0.027634634
txn_count_volatility,0.0267921
refund_acceleration,0.026637558
gmv_volatility,0.016953135
cb_to_refund_conversion,0.012376867
is_top20_gmv_merchant,0.012292928
refund_jerk,0.008619803
gmv_consecutive_declines,0.00024634774
cumulative_refund_spikes,0.0
merchant_vintage,0.0
p_failure_4w,0.0
survival_prob_4w,0.0
is_new_merchant,0.0
