merchant_id,refund_rate,chargeback_rate,refund_acceleration,chargeback_acceleration,gmv_pct_change,gmv_trend_slope,gmv_volatility,anomaly_score,cb_to_refund_conversion,refund_rate_zscore_peer,chargeback_rate_zscore_peer,refund_rate_zscore_personal,gmv_consecutive_declines,txn_count_volatility,cumulative_refund_spikes,refund_x_chargeback,survival_prob_4w,p_failure_4w,merchant_vintage,is_new_merchant,is_top20_gmv_merchant,gmv_mom_4w,refund_jerk,top_driver_1,top_driver_1_val,top_driver_2,top_driver_2_val,top_driver_3,top_driver_3_val,alert_text
MID_0001,4.884285,0.9475915,0.019370819,0.030146943,-0.11467344,-0.08634151,-0.02203635,0.5685495,0.014675034,0.16679406,0.24141793,-0.0495681,0.00020351159,0.011788385,0.0,1.2662951,0.0,0.0,0.0,0.0,0.005745156,-0.12005569,-0.008530804,refund_rate,4.8843,refund_x_chargeback,1.2663,chargeback_rate,0.9476,"Score driven by refund_rate (reduced risk, 4.88pts) and refund_x_chargeback (reduced risk, 1.27pts)."
MID_0002,1.0842785,0.073148124,-0.037652407,0.023459837,0.017193284,0.109140545,0.014196708,-0.8550032,-0.02529719,-0.27959943,-0.1955776,-0.23364195,0.00016547377,0.047996942,0.0,-2.5645516,0.0,0.0,0.0,0.0,0.010576888,0.04420979,-0.010787122,refund_x_chargeback,-2.5646,refund_rate,1.0843,anomaly_score,-0.855,"Score driven by refund_x_chargeback (increased risk, 2.56pts) and refund_rate (reduced risk, 1.08pts)."
MID_0003,3.9963458,0.75092524,-0.0053772833,-0.020552132,-0.08624711,0.3105271,0.00081180164,0.04011641,0.0042708963,0.16567199,0.074896745,0.0709434,0.00018816919,0.019879706,0.0,1.0163087,0.0,0.0,0.0,0.0,0.009310618,-0.046236046,-0.014010683,refund_rate,3.9963,refund_x_chargeback,1.0163,chargeback_rate,0.7509,"Score driven by refund_rate (reduced risk, 4.00pts) and refund_x_chargeback (reduced risk, 1.02pts)."
MID_0004,-2.5963671,0.4919615,0.038928155,0.020806853,-0.17166673,-0.24228768,-0.010793957,-1.0501034,0.010989486,-0.445326,-0.23082906,0.0709747,0.0012090683,-0.014681801,0.0,-2.275086,0.0,0.0,0.0,0.0,-0.035329018,-0.010281395,0.043148,refund_rate,-2.5964,refund_x_chargeback,-2.2751,anomaly_score,-1.0501,"Score driven by refund_rate (increased risk, 2.60pts) and refund_x_chargeback (increased risk, 2.28pts)."
MID_0005,1.2860131,0.16689695,0.008173026,0.006460716,-0.12090367,0.103457466,-0.011690584,-0.57853955,-0.00813128,-0.22147363,-0.17636092,-0.13008313,0.00016547377,0.014510292,0.0,-2.186498,0.0,0.0,0.0,0.0,0.010227026,0.010014401,0.02515512,refund_x_chargeback,-2.1865,refund_rate,1.286,anomaly_score,-0.5785,"Score driven by refund_x_chargeback (increased risk, 2.19pts) and refund_rate (reduced risk, 1.29pts)."
MID_0006,5.083312,0.99913526,0.018578684,0.014689296,-0.06472855,0.10833421,-0.01518285,0.49324077,0.013139723,0.22482228,0.27146435,0.111782245,0.00016616142,0.02800177,0.0,1.4546375,0.0,0.0,0.0,0.0,0.0057436447,-0.08807826,0.0062864544,refund_rate,5.0833,refund_x_chargeback,1.4546,chargeback_rate,0.9991,"Score driven by refund_rate (reduced risk, 5.08pts) and refund_x_chargeback (reduced risk, 1.45pts)."
MID_0007,2.4771955,0.20535406,0.025054926,0.012793351,0.07311758,-0.15094288,-0.0047852015,2.3981042,0.018420426,-0.013762686,-0.15584071,0.13456161,-0.0001232282,0.01778508,0.0,-0.769569,0.0,0.0,0.0,0.0,-0.036396213,-0.028304366,0.017340634,refund_rate,2.4772,anomaly_score,2.3981,refund_x_chargeback,-0.7696,"Score driven by refund_rate (reduced risk, 2.48pts) and anomaly_score (reduced risk, 2.40pts)."
MID_0008,2.0805366,0.08687254,0.022440191,0.016091444,-0.08053153,0.23990108,-0.009570839,1.1374882,0.0035603135,-0.093624435,-0.19211772,0.12144797,0.00020818987,0.03179596,0.0,-1.395531,0.0,0.0,0.0,0.0,0.010497179,0.037679344,0.010928421,refund_rate,2.0805,refund_x_chargeback,-1.3955,anomaly_score,1.1375,"Score driven by refund_rate (reduced risk, 2.08pts) and refund_x_chargeback (increased risk, 1.40pts)."
MID_0009,-3.8891127,0.5814023,0.015273026,0.0054092538,0.062360752,-0.3308417,-0.056926828,-0.3458655,-0.029088425,-0.6525916,-0.26226047,0.0647555,0.00015000292,-0.057874005,0.0,-1.8729916,0.0,0.0,0.0,0.0,-0.034611527,-0.053597488,-0.019593636,refund_rate,-3.8891,refund_x_chargeback,-1.873,refund_rate_zscore_peer,-0.6526,"Score driven by refund_rate (increased risk, 3.89pts) and refund_x_chargeback (increased risk, 1.87pts)."
MID_0010,3.8760188,0.60971135,0.0008455193,0.022098972,0.059274152,0.2098415,0.001783995,0.95970714,0.0068213847,0.15634638,0.07105058,-0.32116923,-0.000116203744,0.021068733,0.0,0.88048196,0.0,0.0,0.0,0.0,0.009429089,0.09741258,0.0017780868,refund_rate,3.876,anomaly_score,0.9597,refund_x_chargeback,0.8805,"Score driven by refund_rate (reduced risk, 3.88pts) and anomaly_score (reduced risk, 0.96pts)."
