merchant_id,week,segment,umap_x,umap_y,cluster_raw,cluster_label
MID_0001,1,healthy,-0.6885,-0.1372,4,Healthy
MID_0001,2,healthy,4.664,0.1981,1,Risky
MID_0001,3,healthy,-7.6289,8.9518,0,Healthy
MID_0001,4,healthy,3.7955,-0.0592,1,Risky
MID_0001,5,healthy,6.7424,0.4567,1,Risky
MID_0001,6,healthy,-7.6196,9.4775,0,Healthy
MID_0001,7,healthy,-4.9455,0.634,4,Healthy
MID_0001,8,healthy,2.5925,7.0372,2,Healthy
MID_0001,9,healthy,-7.8904,8.488,0,Healthy
MID_0001,10,healthy,2.7397,5.2671,2,Healthy
MID_0001,11,healthy,4.223,1.1892,1,Risky
MID_0001,12,healthy,-7.3917,10.2831,0,Healthy
MID_0001,13,healthy,-5.3323,2.2326,4,Healthy
MID_0001,14,healthy,-6.1059,10.0508,0,Healthy
MID_0001,15,healthy,1.5674,6.6578,2,Healthy
MID_0001,16,healthy,-5.0169,0.709,4,Healthy
MID_0001,17,healthy,2.2236,7.016,2,Healthy
MID_0001,18,healthy,-7.0556,9.029,0,Healthy
MID_0001,19,healthy,3.8012,1.2558,1,Risky
MID_0001,20,healthy,2.255,6.9793,2,Healthy
MID_0001,21,healthy,4.1198,0.6235,1,Risky
MID_0001,22,healthy,2.429,5.3327,2,Healthy
MID_0001,23,healthy,4.691,1.2763,1,Risky
MID_0001,24,healthy,7.1019,0.5617,1,Risky
MID_0002,1,healthy,0.9329,11.9501,2,Healthy
MID_0002,2,healthy,0.9125,11.8782,2,Healthy
MID_0002,3,healthy,-3.3128,5.0262,4,Healthy
MID_0002,4,healthy,3.9257,10.386,2,Healthy
MID_0002,5,healthy,3.7905,10.7288,2,Healthy
MID_0002,6,healthy,-3.8068,4.285,4,Healthy
MID_0002,7,healthy,3.7106,10.5028,2,Healthy
MID_0002,8,healthy,-3.8759,4.322,4,Healthy
MID_0002,9,healthy,3.5032,10.3374,2,Healthy
MID_0002,10,healthy,3.175,12.1094,2,Healthy
MID_0002,11,healthy,-3.1642,3.7259,4,Healthy
MID_0002,12,healthy,3.8887,11.0437,2,Healthy
MID_0002,13,healthy,-3.9432,4.6568,4,Healthy
MID_0002,14,healthy,-2.8968,6.5953,0,Healthy
MID_0002,15,healthy,3.7847,10.7668,2,Healthy
MID_0002,16,healthy,-4.1672,4.6328,4,Healthy
MID_0002,17,healthy,-2.6805,6.9333,0,Healthy
MID_0002,18,healthy,4.2712,10.6311,2,Healthy
MID_0002,19,healthy,3.5462,10.577,2,Healthy
MID_0002,20,healthy,4.1351,10.9871,2,Healthy
MID_0002,21,healthy,4.091,11.2854,2,Healthy
MID_0002,22,healthy,2.9531,12.051,2,Healthy
MID_0002,23,healthy,-3.1356,3.7031,4,Healthy
MID_0002,24,healthy,-2.8869,6.7484,0,Healthy
MID_0003,1,healthy,-0.7237,-1.2474,4,Healthy
MID_0003,2,healthy,-4.7365,0.6201,4,Healthy
MID_0003,3,healthy,-6.381,10.7149,0,Healthy
MID_0003,4,healthy,-7.9439,8.7052,0,Healthy
MID_0003,5,healthy,3.6263,0.2227,1,Risky
MID_0003,6,healthy,-6.4174,10.6953,0,Healthy
MID_0003,7,healthy,-6.4584,10.7722,0,Healthy
MID_0003,8,healthy,3.9672,0.1011,1,Risky
MID_0003,9,healthy,6.8088,0.4307,1,Risky
MID_0003,10,healthy,-7.0793,8.976,0,Healthy
MID_0003,11,healthy,3.9186,0.46,1,Risky
MID_0003,12,healthy,7.1309,0.2121,1,Risky
MID_0003,13,healthy,-6.8101,10.3776,0,Healthy
MID_0003,14,healthy,-6.543,10.1361,0,Healthy
MID_0003,15,healthy,-4.5608,0.7897,4,Healthy
MID_0003,16,healthy,-6.5488,9.9243,0,Healthy
MID_0003,17,healthy,-7.8225,11.1516,0,Healthy
MID_0003,18,healthy,-7.0281,9.1328,0,Healthy
MID_0003,19,healthy,4.6901,1.1883,1,Risky
MID_0003,20,healthy,-7.0798,9.9488,0,Healthy
MID_0003,21,healthy,4.994,0.568,1,Risky
MID_0003,22,healthy,-7.5418,9.0648,0,Healthy
MID_0003,23,healthy,3.7999,0.509,1,Risky
MID_0003,24,healthy,7.1281,0.2194,1,Risky
MID_0004,1,healthy,4.1464,13.0176,2,Healthy
MID_0004,2,healthy,4.3018,13.0338,2,Healthy
MID_0004,3,healthy,-2.5123,5.0366,4,Healthy
MID_0004,4,healthy,4.4642,12.6259,2,Healthy
MID_0004,5,healthy,4.2718,12.5248,2,Healthy
MID_0004,6,healthy,-2.6282,5.0553,4,Healthy
MID_0004,7,healthy,-2.5222,5.8297,4,Healthy
MID_0004,8,healthy,-2.4451,5.997,0,Healthy
MID_0004,9,healthy,4.3752,11.8228,2,Healthy
MID_0004,10,healthy,3.3311,12.3308,2,Healthy
MID_0004,11,healthy,-2.3831,4.1161,4,Healthy
MID_0004,12,healthy,4.3463,11.8085,2,Healthy
MID_0004,13,healthy,-2.8325,4.8995,4,Healthy
MID_0004,14,healthy,4.7114,12.0408,2,Healthy
MID_0004,15,healthy,4.3971,13.0892,2,Healthy
MID_0004,16,healthy,-2.81,4.8554,4,Healthy
MID_0004,17,healthy,-2.4865,6.3902,0,Healthy
MID_0004,18,healthy,4.2349,11.9168,2,Healthy
MID_0004,19,healthy,-2.6522,4.4871,4,Healthy
MID_0004,20,healthy,4.4227,11.8108,2,Healthy
MID_0004,21,healthy,-2.7693,4.8523,4,Healthy
MID_0004,22,healthy,2.9334,12.0244,2,Healthy
MID_0004,23,healthy,-2.6116,3.995,4,Healthy
MID_0004,24,healthy,-2.5566,6.2448,0,Healthy
MID_0005,1,healthy,1.1167,11.3667,2,Healthy
MID_0005,2,healthy,-4.893,4.5207,4,Healthy
MID_0005,3,healthy,4.8511,10.4005,2,Healthy
MID_0005,4,healthy,3.7599,9.9123,2,Healthy
MID_0005,5,healthy,3.7255,10.1811,2,Healthy
MID_0005,6,healthy,-4.9302,4.4583,4,Healthy
MID_0005,7,healthy,-2.8376,7.3811,0,Healthy
MID_0005,8,healthy,2.9771,9.8263,2,Healthy
MID_0005,9,healthy,-5.1452,4.3543,4,Healthy
MID_0005,10,healthy,3.6763,7.0318,2,Healthy
MID_0005,11,healthy,-4.5786,3.4829,4,Healthy
MID_0005,12,healthy,-3.0073,7.9492,0,Healthy
MID_0005,13,healthy,-3.6374,7.1635,0,Healthy
MID_0005,14,healthy,2.4253,9.3976,2,Healthy
MID_0005,15,healthy,3.7528,9.5974,2,Healthy
MID_0005,16,healthy,-4.6752,3.4051,4,Healthy
MID_0005,17,healthy,-3.2482,7.1047,0,Healthy
MID_0005,18,healthy,3.0037,9.1473,2,Healthy
MID_0005,19,healthy,-4.3296,3.8608,4,Healthy
MID_0005,20,healthy,-3.6121,4.1597,4,Healthy
MID_0005,21,healthy,-3.1626,6.736,0,Healthy
MID_0005,22,healthy,3.6149,4.8953,2,Healthy
MID_0005,23,healthy,-3.2128,3.5938,4,Healthy
MID_0005,24,healthy,-2.7824,6.8641,0,Healthy
MID_0006,1,healthy,1.7524,-5.9633,1,Risky
MID_0006,2,healthy,1.7339,-5.9401,1,Risky
MID_0006,3,healthy,5.4742,0.4303,1,Risky
MID_0006,4,healthy,6.8856,0.3941,1,Risky
MID_0006,5,healthy,-4.9981,0.6418,4,Healthy
MID_0006,6,healthy,-6.7428,10.1916,0,Healthy
MID_0006,7,healthy,-7.1061,9.1892,0,Healthy
MID_0006,8,healthy,3.8373,-0.0147,1,Risky
MID_0006,9,healthy,6.8444,0.4299,1,Risky
MID_0006,10,healthy,2.1674,3.6067,2,Healthy
MID_0006,11,healthy,3.9776,1.3807,1,Risky
MID_0006,12,healthy,-6.9416,9.3226,0,Healthy
MID_0006,13,healthy,4.5969,0.4028,1,Risky
MID_0006,14,healthy,-6.1936,10.0811,0,Healthy
MID_0006,15,healthy,3.9594,0.3373,1,Risky
MID_0006,16,healthy,-7.0446,9.4394,0,Healthy
MID_0006,17,healthy,4.5272,0.4458,1,Risky
MID_0006,18,healthy,-6.9895,9.3701,0,Healthy
MID_0006,19,healthy,4.5267,0.7696,1,Risky
MID_0006,20,healthy,7.0749,0.2967,1,Risky
MID_0006,21,healthy,-12.6309,9.0258,0,Healthy
MID_0006,22,healthy,2.4955,4.0399,2,Healthy
MID_0006,23,healthy,3.9141,1.524,1,Risky
MID_0006,24,healthy,7.0826,0.5884,1,Risky
MID_0007,1,healthy,0.9994,10.2497,2,Healthy
MID_0007,2,healthy,-5.0858,4.6472,4,Healthy
MID_0007,3,healthy,3.2953,8.7219,2,Healthy
MID_0007,4,healthy,-4.9821,4.1031,4,Healthy
MID_0007,5,healthy,2.6556,9.1202,2,Healthy
